id;nombre_persona;apellido_persona;dni_persona;telefono_persona
1;white Brand Money Market Account;Salad Web virtual;63340;10549
2;Squares mint green e-business;Ghana back-end National;31800;90682
3;contextually-based;synergies copying;86073;30478
4;Hat;supply-chains magenta;11986;26941
5;User-centric Gloves;Mauritania;70301;40383
6;Tasty Concrete Chips Exclusive;Buckinghamshire capability zero tolerance;3688;26678
7;Analyst paradigms;encompassing;90826;63435
8;Canadian Dollar;Berkshire Designer;24205;59269
9;Handmade 24/7 Re-contextualized;web-enabled invoice withdrawal;53577;81643
10;optical;installation;18651;69581
